partner_name,address,city,state,county,partner_type
100 Black Men of Middle Tennessee,"333 Welshwood Dr, Nashville, TN 37211, USA",Nashville,Tennessee,Davidson,after_school
100 Club of Sumner County,P.O. Box 1076,Hendersonville,Tennessee,Sumner,other
16:10 Now & Then,306 Jackson St,Murfreesboro,Tennessee,Rutherford,other
1acre project,"253 Riverside Drive, Nashville, TN, USA",Nashville,Tennessee,Davidson,other
21st District Recovery Court,370 Natchez St.,Franklin,Tennessee,Williamson,medical_health
23rd District Judicial Advocates,P.O. Box 707,Ashland City,Tennessee,Cheatham,other
4:13 Strong,"1276 Foster Ave, Nashville, TN 37210, USA",Nashville,Tennessee,Davidson,workforce_development
510 Foundation,"510 Woodland Street, Nashville, TN, USA",Nashville,Tennessee,Davidson,other
917 Society,P.O. Box 50704,Nashville,Tennessee,Davidson,school_summer
A Better Balance,2301 21st Ave S Ste 355,Nashville,Tennessee,Davidson,other
A S Collective Corp,"2817 West End Ave, Nashville, TN 37203, USA",Nashville,Tennessee,Davidson,other
A Soldier's Child,"1197 Hazelwood Drive suite 104, Smyrna, TN 37167, USA",Smyrna,Tennessee,Rutherford,after_school
A Step Ahead Foundation of Middle Tennessee,"1935 21st Avenue South, Nashville, TN, USA",Nashville,Tennessee,Davidson,medical_health
A to Z Learning Club,"1109 Woodland Street, Nashville, TN, USA",Nashville,Tennessee,Davidson,after_school
A.B.L.E. Youth,"2000 Mallory Ln 130 542, Franklin, TN 37067, USA",Franklin,Tennessee,Williamson,after_school
ABC Sports Foundation,"1720 West End Ave, Nashville, TN 37203, USA",Nashville,Tennessee,Davidson,other
Abe's Garden,"115 Woodmont Blvd, Nashville, TN 37205, USA",Nashville,Tennessee,Davidson,senior_services
Abintra Montessori School,914 Davidson Drive,Nashville,Tennessee,Davidson,school_summer
AbleVoices,"9161 Sydney Ln, Brentwood, TN, USA",Brentwood,Tennessee,Williamson,medical_health
abrasiveMedia,3256 Knobview Dr,Nashville,Tennessee,Davidson,other
Abundant Life Christian Academy,"1510 Memorial Blvd, Murfreesboro, TN, USA",Murfreesboro,Tennessee,Rutherford,school_summer
Achievement Initiative of Middle Tennessee (AIM-TN),"2020 Fieldstone Parkway suite 900 130, Franklin, TN, USA",Franklin,Tennessee,Williamson,after_school
Achilles International (Nashville Chapter),"570 Rome Pike, Lebanon, TN 37087, USA",Lebanon,Tennessee,Wilson,other
ACLU Foundation of Tennessee,"210 25th Avenue North, Nashville, TN, USA",Nashville,Tennessee,Davidson,other
Act Too Players Foundation,"1113 Murfreesboro Rd #119, Franklin, TN 37064, USA",Franklin,Tennessee,Williamson,other
Actors Bridge Ensemble,"4610 Charlotte Ave, Nashville, TN 37209, USA",Nashville,Tennessee,Davidson,other
Actors Point Theatre Company,170D E. Main St. #236,Hendersonville,Tennessee,Sumner,other
Adroit,705 Vosswood Dr,Nashville,Tennessee,Davidson,other
Adult Education Advisory Council of Wilson County Tennessee,"351 Stumpy Lane, Lebanon, TN, USA",Lebanon,Tennessee,Wilson,workforce_development
Adventure Science Center Nashville,"800 Fort Negley Blvd, Nashville, TN 37203, USA",Nashville,Tennessee,Davidson,other
Advocates for Women's and Kids' Equality (AWAKE),"1515 Russell St, Nashville, TN, USA",Nashville,Tennessee,Davidson,other
Affordable Housing of Nashville / Affordable Housing Resources,"50 Vantage Way, Nashville, TN 37228, USA",Nashville,Tennessee,Davidson,transitional_housing
African American Heritage Society Museum,446 11th Ave N,Franklin,Tennessee,Williamson,other
African Leadership,"1906 Glen Echo Road, Nashville, TN, USA",Nashville,Tennessee,Davidson,community_development
After The Impact Fund,6688 Nolensville Road,Brentwood,Tennessee,Williamson,medical_health
Agape Animal Rescue / Daniel and Friends Dog Rescue,"827 South Douglas Avenue, Nashville, TN, USA",Nashville,Tennessee,Davidson,other
Agape to the Nations,"111 W Main St, Gallatin, TN 37066, USA",Gallatin,Tennessee,Sumner,other
Akiva School,"809 Percy Warner Blvd, Nashville, TN 37205, USA",Nashville,Tennessee,Davidson,school_summer
ALIAS Chamber Ensemble,PO Box 40723,Nashville,Tennessee,Davidson,other
Alignment Nashville,"575 Joyce Ln, Nashville, TN 37216, USA",Nashville,Tennessee,Davidson,school_summer
Alive Hospice / Alive,"1718 Patterson Street, Nashville, TN, USA",Nashville,Tennessee,Davidson,senior_services
Alliance Francaise de Nashville,"4004 Hillsboro Pike #237-B, Nashville, TN 37215, USA",Nashville,Tennessee,Davidson,other
Always Bev,"3350 Hobson Pike, Hermitage, TN 37076, USA",Hermitage,Tennessee,Davidson,other
Alzheimer's Association Tennessee Chapter,1801 West End Ave,Nashville,Tennessee,Davidson,medical_health
Amateur Athletic Union of the United States / Starlings Nashville,2733 Pine Ridge Dr,Nashville,Tennessee,Davidson,other
Amelia's Closet,"850 NW Broad St, Murfreesboro, TN 37129, USA",Murfreesboro,Tennessee,Rutherford,other
American Association For State and Local History,"2021 21st Avenue South, Suite 320",Nashville,Tennessee,Davidson,other
American Baptist Theological Seminary,1800 Baptist World Center Drive,Nashville,Tennessee,Davidson,other
American Cancer Society,"2000 Charlotte Ave, Nashville, TN 37203, USA",Nashville,Tennessee,Davidson,medical_health
American Diabetes Association,"210 Cumberland Bend #409, Nashville, TN 37228, USA",Nashville,Tennessee,Davidson,medical_health
American Entertainment Works,3400 Roundwood Forest Drive,Antioch,Tennessee,Davidson,other
American Foundation for Suicide Prevention Tennessee Chapter,8161 Highway 100,Nashville,Tennessee,Davidson,medical_health
American Heart Association of Middle Tennessee,"1818 Patterson St, Nashville, TN 37203, USA",Nashville,Tennessee,Davidson,medical_health
American Muslim Advisory Council,"2195 Nolensville Pk, Nashville, TN 37211, USA",Nashville,Tennessee,Davidson,community_development
American Red Cross (Heart of Tennessee Chapter),"501 Memorial Boulevard, Murfreesboro, TN, USA",Murfreesboro,Tennessee,Rutherford,other
American Red Cross (Nashville Area Chapter),2201 Charlotte Avenue,Nashville,Tennessee,Davidson,other
American Society for the Preservation of C10,"4183 Franklin Rd, Murfreesboro, TN, USA",Murfreesboro,Tennessee,Rutherford,other
Amputee Blade Runners,"410 42nd Ave N Suite 207, Nashville, TN 37209, USA",Nashville,Tennessee,Davidson,medical_health
"An Array of Charm Camps for Youth Development, AAOC","2620 Clarksville Pike, Nashville, TN, USA",Nashville,Tennessee,Davidson,after_school
AncoraTN,"Nashville, TN, USA",Nashville,Tennessee,Davidson,other
Andrew Jackson Police Youth Camp,440 Welshwood Drive,Nashville,Tennessee,Davidson,school_summer
Angel Flight Soars,73 White Bridge Rd,Nashville,Tennessee,Davidson,medical_health
Angel Heart Farm,"4844 Byrd Lane, College Grove, TN, USA",College Grove,Tennessee,Williamson,medical_health
Another Chance Unlimited,1919 16th Ave North,Nashville,Tennessee,Davidson,other
AO: Advocating Opportunity,"1108 McKennie Ave, Nashville, TN 37206, USA",Nashville,Tennessee,Davidson,other
Aphesis House,"311 Walton Ln, Madison, TN, USA",Nashville,Tennessee,Davidson,transitional_housing
API Middle Tennessee,"3511 Gallatin Pike, DD3",Nashville,Tennessee,Davidson,community_development
April Gloaming Publishing,"4969 Algonquin Trail, Antioch, TN, USA",Nashville,Tennessee,Davidson,other
Aquinas College,4210 Harding Pike,Nashville,Tennessee,Davidson,other
Archies Promise,"4321 Woodbury Pike, Murfreesboro, TN 37130, USA",Murfreesboro,Tennessee,Rutherford,other
Ark Community Resource and Assistance Center,710 Hwy 70,Pegram,Tennessee,Cheatham,community_meals
Art Helps Cancer,PO Box 441,Nolensville,Tennessee,Williamson,medical_health
Arthritis Foundation,"917 Titans Wy, Joelton, TN 37080, USA",Joelton,Tennessee,Davidson,medical_health
Artists in Christian Testimony,P.O. Box 1649,Brentwood,Tennessee,Williamson,other
Arts & Business Council of Greater Nashville,"Plant Operations - Maintenance, 1900 Belmont Blvd, Nashville, TN 37212, USA",Nashville,Tennessee,Davidson,other
Arts at Center Street,"401 Center Street, Lakewood, TN, USA",Nashville,Tennessee,Davidson,other
Asenath 3,"301 Anna Court, Nashville, TN, USA",Nashville,Tennessee,Davidson,other
Ashley's Place / Sumner Child Advocacy Center,"315 W Smith St, Gallatin, TN 37066, USA",Gallatin,Tennessee,Sumner,other
ASMT / Autism Tennessee,"955 Woodland St, Nashville, TN 37206, USA",Nashville,Tennessee,Davidson,medical_health
Aspen Tree Ministries,"622 Rebel Road, Old Hickory, TN, USA",Green Hill,Tennessee,Wilson,other
Aspiring Youth Enrichment Services,"2624 Morena St, Nashville, TN 37208, USA",Nashville,Tennessee,Davidson,after_school
Assistance League of Nashville,PO Box 653,Brentwood,Tennessee,Williamson,community_development
Association for Guidance Aid Placement & Empathy (AGAPE),"4555 Trousdale Dr, Nashville, TN 37204, USA",Nashville,Tennessee,Davidson,other
Association of Infant Mental Health in Tennessee,"308 N Spring St, Murfreesboro, TN 37130, USA",Murfreesboro,Tennessee,Rutherford,medical_health
Assurance Mamas,PO Box 11955,Murfreesboro,Tennessee,Rutherford,medical_health
Attachment Parenting International / Nurturings,"1508 Clairmont Pl, Nashville, TN 37215, USA",Nashville,Tennessee,Davidson,other
Audience of One Productions,1702 Country Haven Court,Mount Juliet,Tennessee,Wilson,other
Autism Foundation of Tennessee / Autism Career Training (ACT),"6515 Holt Rd, Nashville, TN, USA",Nashville,Tennessee,Davidson,workforce_development
Aventura Community Schools,"3010 Tuggle Ave, Nashville, TN 37211, USA",Nashville,Tennessee,Davidson,school_summer
AWAKE Nashville,"1512 Ogden Dr, Nashville, TN, USA",Nashville,Tennessee,Davidson,other
Ayoku Healing Retreat Center,"7052 W Gum Rd, Murfreesboro, TN, USA",Murfreesboro,Tennessee,Rutherford,medical_health
B.E. Academy for Girls,500 Hillside Court,Nashville,Tennessee,Davidson,school_summer
Backfield in Motion,"920 Woodland St, Nashville, TN 37206, USA",Nashville,Tennessee,Davidson,after_school
Backlight Productions,"1710 General George Patton Dr #107, Brentwood, TN 37027, USA",Brentwood,Tennessee,Williamson,medical_health
Barefoot Republic,"1226 Lakeview Drive, Franklin, TN, USA",Franklin,Tennessee,Williamson,school_summer
Bastion Foundation,"6937 Stone Run Drive, Nashville, TN, USA",Nashville,Tennessee,Davidson,other
Be A Helping Hand Foundation,"827 W McKennie Ave, Nashville, TN 37206, USA",Nashville,Tennessee,Davidson,community_development
Be About Change,"8161 Highway 100, #256",Nashville,Tennessee,Davidson,other
