address,latitude,longitude
"333 Welshwood Dr, Nashville, TN 37211, USA",36.0825645,-86.7297817
"Hendersonville, Sumner County, Tennessee, USA",36.3049177,-86.621443
"306 Jackson St, Murfreesboro, Tennessee, USA",35.8508881,-86.3877647
"253 Riverside Drive, Nashville, TN, USA",36.173901,-86.726673
"370 Natchez St., Franklin, Tennessee, USA",35.9170077,-86.8792929
"Ashland City, Cheatham County, Tennessee, USA",36.2742207,-87.0641699
"1276 Foster Ave, Nashville, TN 37210, USA",36.1296061,-86.7417914
"510 Woodland Street, Nashville, TN, USA",36.1718756,-86.7643986
"Nashville, Davidson County, Tennessee, USA",36.1622767,-86.7742984
"2817 West End Ave, Nashville, TN 37203, USA",36.144374,-86.812215
"1935 21st Avenue South, Nashville, TN, USA",36.1354858,-86.801129
"1109 Woodland Street, Nashville, TN, USA",36.1775736,-86.7488159
"1720 West End Ave, Nashville, TN 37203, USA",36.1534841,-86.7958554
"115 Woodmont Blvd, Nashville, TN 37205, USA",36.1167184,-86.8386652
"914 Davidson Drive, Nashville, Tennessee, USA",36.1177084,-86.897332
"9161 Sydney Ln, Brentwood, TN, USA",35.9422091,-86.7651011
"3256 Knobview Dr, Nashville, Tennessee, USA",36.1774502,-86.6717853
"1510 Memorial Blvd, Murfreesboro, TN, USA",35.8917688,-86.3824544
"570 Rome Pike, Lebanon, TN 37087, USA",36.2156062,-86.2748304
"210 25th Avenue North, Nashville, TN, USA",36.1483296,-86.8086227
"4610 Charlotte Ave, Nashville, TN 37209, USA",36.1522742,-86.8424789
"170D E. Main St. #236, Hendersonville, Tennessee, USA",36.3135739,-86.5930416
"705 Vosswood Dr, Nashville, Tennessee, USA",36.1127581,-86.8809455
"351 Stumpy Lane, Lebanon, TN, USA",36.1667735,-86.3044155
"800 Fort Negley Blvd, Nashville, TN 37203, USA",36.147089,-86.77598
"1515 Russell St, Nashville, TN, USA",36.174671,-86.7439403
"50 Vantage Way, Nashville, TN 37228, USA",36.1917653,-86.7939834
"446 11th Ave N, Franklin, Tennessee, USA",35.9255605,-86.879865
