GEOID,DIABETES,data_vintage
47037019004,6.2,CDC PLACES 2022
47037015404,9.5,CDC PLACES 2022
47037018801,5.0,CDC PLACES 2022
47037014400,5.0,CDC PLACES 2022
47037011001,5.0,CDC PLACES 2022
47037017200,5.0,CDC PLACES 2022
47037015700,6.9,CDC PLACES 2022
47037015900,8.8,CDC PLACES 2022
47037012702,8.2,CDC PLACES 2022
47037010401,5.0,CDC PLACES 2022
47037017800,5.0,CDC PLACES 2022
47037019109,6.8,CDC PLACES 2022
47037017500,5.0,CDC PLACES 2022
47037015613,7.9,CDC PLACES 2022
47037010301,9.7,CDC PLACES 2022
47037010802,7.0,CDC PLACES 2022
47037010904,9.5,CDC PLACES 2022
47037011002,7.1,CDC PLACES 2022
47037011100,8.3,CDC PLACES 2022
47037015614,5.1,CDC PLACES 2022
47037017300,5.7,CDC PLACES 2022
47037015300,6.6,CDC PLACES 2022
47037018601,8.3,CDC PLACES 2022
47037011500,5.0,CDC PLACES 2022
47037010903,7.6,CDC PLACES 2022
47037980200,8.2,CDC PLACES 2022
47037013100,5.2,CDC PLACES 2022
47037015619,10.3,CDC PLACES 2022
47037015401,5.0,CDC PLACES 2022
47037015609,5.0,CDC PLACES 2022
47037015405,5.0,CDC PLACES 2022
47037019112,5.0,CDC PLACES 2022
47037018407,5.3,CDC PLACES 2022
47037011700,9.7,CDC PLACES 2022
47037018404,5.1,CDC PLACES 2022
47037011600,6.5,CDC PLACES 2022
47037018500,10.8,CDC PLACES 2022
47037019111,10.1,CDC PLACES 2022
47037012801,5.1,CDC PLACES 2022
47037010901,9.5,CDC PLACES 2022
47037015617,5.8,CDC PLACES 2022
47037018000,5.0,CDC PLACES 2022
47037012701,5.0,CDC PLACES 2022
47037015615,5.0,CDC PLACES 2022
47037018201,5.0,CDC PLACES 2022
47037018405,5.4,CDC PLACES 2022
47037018408,9.6,CDC PLACES 2022
47037010501,11.2,CDC PLACES 2022
47037010502,5.0,CDC PLACES 2022
47037011200,6.9,CDC PLACES 2022
47037011800,5.0,CDC PLACES 2022
47037011900,7.4,CDC PLACES 2022
47037012100,5.0,CDC PLACES 2022
47037012200,5.0,CDC PLACES 2022
47037012600,8.7,CDC PLACES 2022
47037012802,5.0,CDC PLACES 2022
47037013500,5.3,CDC PLACES 2022
47037015618,5.0,CDC PLACES 2022
47037017401,5.3,CDC PLACES 2022
47037017402,7.5,CDC PLACES 2022
47037018101,5.3,CDC PLACES 2022
47037013800,7.2,CDC PLACES 2022
47037013900,6.3,CDC PLACES 2022
47037016000,9.2,CDC PLACES 2022
47037016200,5.0,CDC PLACES 2022
47037016100,5.0,CDC PLACES 2022
47037018901,10.0,CDC PLACES 2022
47037018902,5.0,CDC PLACES 2022
47037018203,9.3,CDC PLACES 2022
47037018602,9.6,CDC PLACES 2022
47037018700,5.6,CDC PLACES 2022
47037010701,8.4,CDC PLACES 2022
47037014200,11.4,CDC PLACES 2022
47037014300,12.3,CDC PLACES 2022
47037014800,5.7,CDC PLACES 2022
47037016300,6.5,CDC PLACES 2022
47037015100,10.8,CDC PLACES 2022
47037016400,5.0,CDC PLACES 2022
47037015200,7.9,CDC PLACES 2022
47037015402,6.5,CDC PLACES 2022
47037016500,6.7,CDC PLACES 2022
47037019108,5.0,CDC PLACES 2022
47037015501,5.0,CDC PLACES 2022
47037019003,5.0,CDC PLACES 2022
47037016600,5.0,CDC PLACES 2022
47037016800,5.0,CDC PLACES 2022
47037019110,8.4,CDC PLACES 2022
47037011400,11.9,CDC PLACES 2022
47037010702,8.8,CDC PLACES 2022
47037010801,5.0,CDC PLACES 2022
47037013202,7.6,CDC PLACES 2022
47037013201,7.4,CDC PLACES 2022
47037018409,6.6,CDC PLACES 2022
47037018410,7.3,CDC PLACES 2022
