address,latitude,longitude
"5589 Broadway, Nashville, TN 37201",36.163467,-86.683307
"8889 West End Ave, Nashville, TN 37203",36.17664,-86.697534
"731 Charlotte Ave, Nashville, TN 37204",36.137195,-86.781884
"8596 Gallatin Pike, Nashville, TN 37205",36.167726,-86.876405
"8292 Nolensville Pike, Nashville, TN 37206",36.146468,-86.681439
"6352 Dickerson Pike, Nashville, TN 37208",36.183633,-86.858998
"1735 Shelby Ave, Nashville, TN 37209",36.136917,-86.855615
"7604 Main St, Nashville, TN 37210",36.086672,-86.679009
"7034 Church St, Nashville, TN 37211",36.154413,-86.827792
"3609 Commerce St, Nashville, TN 37212",36.178456,-86.899845
"772 Demonbreun St, Nashville, TN 37213",36.127184,-86.732872
"9708 Rosa L Parks Blvd, Nashville, TN 37214",36.184103,-86.665967
"4511 Jefferson St, Nashville, TN 37215",36.181957,-86.786999
"8941 Buchanan St, Nashville, TN 37216",36.204529,-86.684801
"6810 Trinity Ln, Nashville, TN 37217",36.198011,-86.670429
"7805 Clarksville Pike, Nashville, TN 37218",36.207821,-86.693568
"2026 Ellington Pkwy, Nashville, TN 37220",36.100957,-86.725821
"3702 Lebanon Pike, Nashville, TN 37221",36.153114,-86.768855
"4720 Broadway, Nashville, TN 37228",36.187356,-86.668844
"5027 West End Ave, Nashville, TN 37201",36.240232,-86.832425
"533 Charlotte Ave, Nashville, TN 37203",36.200101,-86.721604
"5510 Gallatin Pike, Nashville, TN 37204",36.138139,-86.871871
"1627 Nolensville Pike, Nashville, TN 37205",36.089252,-86.715038
"7458 Murfreesboro Pike, Nashville, TN 37206",36.161052,-86.66507
"6861 Dickerson Pike, Nashville, TN 37207",36.157096,-86.6669
"9232 Shelby Ave, Nashville, TN 37208",36.148552,-86.711116
"7472 Main St, Nashville, TN 37209",36.096271,-86.768289
"3729 Church St, Nashville, TN 37210",36.21103,-86.679672
